"","Group.1","c.32L..78L..5L..24L..63L..40L..23L..218L..30L..67L..16L..33L.."
"1","Al-Amadiya",626
"2","Al-Falluja",1547
"3","Al-Hamdaniya",6455
"4","Al-Hindiya",104
"5","Al-Kadhmiyah",94
"6","Al-Mada'in",63
"7","Al-Mahmoudiya",40
"8","Al-Mosul",7687
"9","Al-Risafa",110
"10","Al-Shikhan",5377
"11","Al-Sulaymaniyah",2408
"12","Aqra",185
"13","Baquba",120
"14","Erbil",1224
"15","Kalar",259
"16","Khanaqin",1003
"17","Kirkuk",1768
"18","Makhmour",1726
"19","Sumail",15821
"20","Tikrit",187
"21","Zakho",8926
