"","Group.1","c.324..600..240..180..120..480..258..378..516..42..60..192..114.."
"1","Abu Al-Khaseeb",1218
"2","Abu Ghraib",6546
"3","Adhamia",4068
"4","Afaq",834
"5","Ain Al-Tamur",222
"6","Akre",28908
"7","Al-Azezia",666
"8","Al-Ba'aj",7008
"9","Al-Chibayish",24
"10","Al-Daur",114
"11","Al-Fares",4104
"12","Al-Hai",378
"13","Al-Hamdaniya",198
"14","Al-Hawiga",426
"15","Al-Hindiya",948
"16","Al-Kahla",36
"17","Al-Khalis",5952
"18","Al-Khidhir",36
"19","Al-Mahawil",372
"20","Al-Maimouna",18
"21","Al-Manathera",396
"22","Al-Mejar Al-Kabir",168
"23","Al-Midaina",228
"24","Al-Muqdadiya",264
"25","Al-Musayab",14826
"26","Al-Na'maniya",498
"27","Al-Qurna",288
"28","Al-Rifa'i",756
"29","Al-Rumaitha",318
"30","Al-Rutba",3096
"31","Al-Samawa",672
"32","Al-Shamiya",402
"33","Al-Shatra",150
"34","Al-Shikhan",21792
"35","Al-Shirqat",1044
"36","Al-Suwaira",450
"37","Al-Zubair",1392
"38","Al Resafa",2568
"39","Ali Al-Gharbi",72
"40","Amara",1848
"41","Amedi",3180
"42","Ana",552
"43","Ba'quba",21678
"44","Badra",228
"45","Baiji",852
"46","Balad",4818
"47","Baladrooz",630
"48","Basrah",2898
"49","Chamchamal",9768
"50","Dabes",1428
"51","Dahuk",31512
"52","Daquq",6234
"53","Darbandikhan",4608
"54","Diwaniya",2490
"55","Dokan",5250
"56","Erbil",208386
"57","Falluja",13734
"58","Fao",60
"59","Haditha",1230
"60","Halabja",6378
"61","Hamza",174
"62","Hashimiya",294
"63","Hatra",1362
"64","Heet",1494
"65","Hilla",1524
"66","Kadhimia",2652
"67","Kalar",20322
"68","Karkh",11502
"69","Kerbala",13734
"70","Khanaqin",11148
"71","Kifri",7716
"72","Kirkuk",80850
"73","Koisnjaq",3450
"74","Kufa",2178
"75","Kut",4164
"76","Mada'in",564
"77","Mahmoudiya",4680
"78","Makhmur",0
"79","Mergasur",210
"80","Mosul",108750
"81","Najaf",8820
"82","Nassriya",1950
"83","Penjwin",30
"84","Pshdar",228
"85","Qal'at Saleh",120
"86","Ramadi",6990
"87","Rania",2628
"88","Samarra",18372
"89","Shaqlawa",5214
"90","Sharbazher",594
"91","Shatt Al-Arab",444
"92","Sinjar",25476
"93","Soran",2316
"94","Sulaymaniya",74262
"95","Sumel",81270
"96","Suq Al-Shoyokh",546
"97","Tarmia",3336
"98","Telafar",9180
"99","Thawra1",18
"100","Thawra2",258
"101","Tikrit",19110
"102","Tilkaif",10770
"103","Tuz Khurmatu",24726
"104","Zakho",50700
