"","district","governorate","a65","a65chronic","health_issue.chronic","a65andorchronic"
"1","Al-Adhamiya","Baghdad",17,0,17,34
"2","Al-Amadiya","Duhok",129,108,468,489
"3","Al-Baaj","Ninewa",171,171,342,342
"4","Al-Basrah","Al-Basrah",52,52,138,138
"5","Al-Diwaniya","Al-Qadissiya",22,7,65,80
"6","Al-Falluja","Al-Anbar",34,34,34,34
"7","Al-Hamdaniya","Ninewa",4,3,23,24
"8","Al-Hindiya","Kerbala",12,12,35,35
"9","Al-Kadhmiyah","Baghdad",6,0,0,6
"10","Al-Kahla","Maysan",1,0,1,2
"11","Al-Karkh","Baghdad",98,0,24,122
"12","Al-Khalis","Diyala",49,0,69,118
"13","Al-Kufa","Al-Najaf",48,38,167,177
"14","Al-Kut","Wassit",31,0,134,165
"15","Al-Mahmoudiya","Baghdad",119,103,645,661
"16","Al-Mosul","Ninewa",1760,1565,10953,11149
"17","Al-Mussyab","Babil",45,0,181,227
"18","Al-Najaf","Al-Najaf",168,142,737,763
"19","Al-Nasiriya","Thi-Qar",58,0,0,58
"20","Al-Ramadi","Al-Anbar",52,0,0,52
"21","Al-Risafa","Baghdad",29,0,17,46
"22","Al-Shikhan","Ninewa",648,454,2949,3143
"23","Al-Shirqat","Salah Al-Din",13,8,64,70
"24","Al-Sulaymaniyah","Al-Sulaymaniyah",1107,123,1721,2705
"25","Al-Suwaira","Wassit",2,1,16,17
"26","Aqra","Ninewa",403,369,2787,2820
"27","Balad","Salah Al-Din",0,0,63,63
"28","Baquba","Diyala",327,0,436,763
"29","Beygee","Salah Al-Din",22,10,81,93
"30","Chamchamal","Al-Sulaymaniyah",156,99,680,737
"31","Daquq","Kirkuk",81,81,564,564
"32","Derbendikhan","Al-Sulaymaniyah",65,22,267,311
"33","Dibis","Kirkuk",25,12,131,144
"34","Dokan","Al-Sulaymaniyah",84,67,548,565
"35","Duhok","Duhok",829,524,3492,3797
"36","Erbil","Erbil",3959,3239,24114,24834
"37","Haditha","Al-Anbar",25,13,65,77
"38","Halabcha","Al-Sulaymaniyah",48,0,275,323
"39","Heet","Al-Anbar",37,9,14,42
"40","Kalar","Al-Sulaymaniyah",523,322,966,1167
"41","Kerbela","Kerbala",198,165,692,725
"42","Khanaqin","Diyala",336,213,1063,1186
"43","Kifri","Diyala",138,104,398,433
"44","Kirkuk","Kirkuk",3077,1379,6684,8382
"45","Koysinjaq","Erbil",15,10,300,305
"46","Rania","Al-Sulaymaniyah",59,38,265,286
"47","Samarra","Salah Al-Din",194,0,1069,1264
"48","Shaqlawa","Erbil",139,119,695,715
"49","Sinjar","Ninewa",518,319,1914,2113
"50","Sumail","Duhok",2663,2343,12888,13208
"51","Telafar","Ninewa",133,93,693,733
"52","Tikrit","Salah Al-Din",355,118,906,1143
"53","Tilkaef","Ninewa",267,193,1263,1337
"54","Tooz Khurmato","Salah Al-Din",624,390,1638,1872
"55","Zakho","Duhok",1678,1378,6652,6952
