"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"a65","population_group",NA,"returnee",0.0550724637681159,NA,0.00784707145744776,0.102297856078784,"district","tooz.khurmato"
"a65","population_group",NA,"idp_out_camp",0.0252365930599369,NA,0.00336784715603375,0.0471053389638401,"district","tooz.khurmato"
"a65","population_group",NA,"returnee",0.0224719101123595,NA,0.00992027896737996,0.0350235412573391,"district","telafar"
"a65","population_group",NA,"idp_out_camp",0.0145137880986938,NA,0.00669005867577174,0.0223375175216158,"district","telafar"
"a65","population_group",NA,"idp_out_camp",0.0143884892086331,NA,1.85839628977641e-05,0.0287583944543684,"district","kerbela"
"a65","population_group",NA,"idp_out_camp",0.0150753768844221,NA,0.00455552291753258,0.0255952308513116,"district","baquba"
"a65","population_group",NA,"idp_in_camp",0.00307036637594878,NA,-0.000128510058599803,0.00626924281049736,"district","kirkuk"
"a65","population_group",NA,"idp_out_camp",0.0380577427821522,NA,0.0228116939063076,0.0533037916579969,"district","kirkuk"
"a65","population_group",NA,"returnee",0.0434227330779055,NA,0.0223716892472368,0.0644737769085742,"district","kirkuk"
"a65","population_group",NA,"idp_in_camp",0.0186002108012159,NA,0.0106428062026902,0.0265576153997416,"district","al.hamdaniya"
"a65","population_group",NA,"returnee",0.0282258064516129,NA,0.0130073177643291,0.0434442951388968,"district","al.hamdaniya"
"a65","population_group",NA,"idp_out_camp",0.0218446601941748,NA,0.0171727119025028,0.0265166084858467,"district","al.hamdaniya"
"a65","population_group",NA,"idp_in_camp",0.0245383557748636,NA,0.0164837929695135,0.0325929185802136,"district","al.mosul"
"a65","population_group",NA,"host",0.00940438871473354,NA,0.003607577959967,0.0152011994695001,"district","al.mosul"
"a65","population_group",NA,"returnee",0.0107142857142857,NA,0.000895449848150716,0.0205331215804207,"district","al.mosul"
"a65","population_group",NA,"idp_out_camp",0.0161870503597122,NA,0.00505979170442803,0.0273143090149964,"district","al.mosul"
"a65","population_group",NA,"idp_out_camp",0.0160513643659711,NA,0.0105866108582401,0.0215161178737021,"district","dokan"
"a65","population_group",NA,"returnee",0.0170731707317073,NA,0.00522807618795597,0.0289182652754587,"district","balad"
"a65","population_group",NA,"idp_out_camp",0,NA,0,0,"district","balad"
"a65","population_group",NA,"idp_out_camp",0.0266666666666667,NA,0.0127730890243691,0.0405602443089642,"district","shaqlawa"
"a65","population_group",NA,"returnee",0.0209643605870021,NA,0.0129686324853798,0.0289600886886243,"district","dibis"
"a65","population_group",NA,"idp_out_camp",0.0172413793103448,NA,0.00726795692026691,0.0272148017004227,"district","dibis"
"a65","population_group",NA,"idp_out_camp",0.0141065830721003,NA,0.00334563299125347,0.0248675331529472,"district","derbendikhan"
"a65","population_group",NA,"returnee",0.0294985250737463,NA,0.0190125993376978,0.0399844508097948,"district","beygee"
"a65","population_group",NA,"idp_out_camp",0.0257879656160458,NA,0.0200582043556499,0.0315177268764418,"district","beygee"
"a65","population_group",NA,"idp_out_camp",0.0112612612612613,NA,0.00222556730872387,0.0202969552137987,"district","al.risafa"
"a65","population_group",NA,"idp_in_camp",0.027972027972028,NA,-6.36113434215428e-05,0.0560076672874775,"district","al.risafa"
"a65","population_group",NA,"idp_out_camp",0.033096926713948,NA,0.0182453160555789,0.0479485373723171,"district","zakho"
"a65","population_group",NA,"idp_in_camp",0.0347687745079438,NA,0.0242134331136648,0.0453241159022227,"district","zakho"
"a65","population_group",NA,"returnee",0.0233644859813084,NA,0.0138318444185764,0.0328971275440404,"district","al.rutba"
"a65","population_group",NA,"idp_in_camp",0.0233088756272055,NA,0.0111601118450065,0.0354576394094044,"district","tikrit"
"a65","population_group",NA,"returnee",0.0274170274170274,NA,0.0120650865560084,0.0427689682780464,"district","tikrit"
"a65","population_group",NA,"idp_out_camp",0.0185567010309278,NA,0.00654765831622652,0.0305657437456292,"district","tikrit"
"a65","population_group",NA,"returnee",0.0264650283553875,NA,0.0173311697823567,0.0355988869284183,"district","makhmour"
"a65","population_group",NA,"idp_in_camp",0.0233644859813084,NA,0.0069779596394845,0.0397510123231323,"district","makhmour"
"a65","population_group",NA,"idp_out_camp",0.00442477876106195,NA,0.00134253364432287,0.00750702387780102,"district","koysinjaq"
"a65","population_group",NA,"idp_in_camp",0.0286280962237506,NA,0.0215834716791335,0.0356727207683677,"district","sumail"
"a65","population_group",NA,"host",0.0539273153575616,NA,0.0345641813368516,0.0732904493782715,"district","sumail"
"a65","population_group",NA,"idp_out_camp",0.0327653997378768,NA,0.022340588696925,0.0431902107788286,"district","sumail"
"a65","population_group",NA,"returnee",0.0104575163398693,NA,0.0028613484764205,0.0180536842033181,"district","al.shirqat"
"a65","population_group",NA,"idp_out_camp",0.0124869927159209,NA,0.00871020707715073,0.0162637783546911,"district","al.shirqat"
"a65","population_group",NA,"idp_in_camp",0.0333333333333333,NA,0.00692401972831259,0.0597426469383541,"district","al.shirqat"
"a65","population_group",NA,"host",0.0271604938271605,NA,0.0118548420343754,0.0424661456199455,"district","al.shirqat"
"a65","population_group",NA,"returnee",0.0160427807486631,NA,0.00765312241347984,0.0244324390838464,"district","haditha"
"a65","population_group",NA,"idp_out_camp",0.0204081632653061,NA,0.00403311199223946,0.0367832145383728,"district","haditha"
"a65","population_group",NA,"returnee",0.00374531835205993,NA,-0.00318583185599757,0.0106764685601174,"district","al.ramadi"
"a65","population_group",NA,"idp_out_camp",0.00738007380073801,NA,-0.00532612793493637,0.0200862755364124,"district","al.ramadi"
"a65","population_group",NA,"returnee",0.0323699421965318,NA,0.0122948792765165,0.0524450051165471,"district","tilkaef"
"a65","population_group",NA,"idp_out_camp",0.0248275862068966,NA,0.0159139654233372,0.0337412069904559,"district","tilkaef"
"a65","population_group",NA,"idp_out_camp",0.0246085011185682,NA,0.00583083329370126,0.0433861689434352,"district","al.kahla"
"a65","population_group",NA,"host",0.0220125786163522,NA,0.0220125786163521,0.0220125786163523,"district","al.kahla"
"a65","population_group",NA,"host",0.0344827586206897,NA,0.0274139534984094,0.0415515637429699,"district","al.basrah"
"a65","population_group",NA,"idp_out_camp",0.0178571428571429,NA,-0.00338620224427606,0.0391004879585618,"district","al.basrah"
"a65","population_group",NA,"returnee",0.0177514792899408,NA,0.00859707395292525,0.0269058846269564,"district","heet"
"a65","population_group",NA,"idp_out_camp",0.0247678018575851,NA,0.00620071902482056,0.0433348846903497,"district","heet"
"a65","population_group",NA,"returnee",0.00477326968973747,NA,0.00343744344530161,0.00610909593417333,"district","al.kadhmiyah"
"a65","population_group",NA,"idp_out_camp",0.0020746887966805,NA,-0.0018341279025962,0.00598350549595719,"district","al.kadhmiyah"
"a65","population_group",NA,"idp_in_camp",0.00947867298578199,NA,-0.00337456969829929,0.0223319156698633,"district","al.kadhmiyah"
"a65","population_group",NA,"returnee",0.0269784172661871,NA,0.0042949262076236,0.0496619083247505,"district","al.kaim"
"a65","population_group",NA,"idp_out_camp",0,NA,0,0,"district","al.kaim"
"a65","population_group",NA,"idp_out_camp",0.040453074433657,NA,0.0203084899379899,0.060597658929324,"district","al.amadiya"
"a65","population_group",NA,"idp_in_camp",0.0597826086956522,NA,0.0290988713100576,0.0904663460812468,"district","al.amadiya"
"a65","population_group",NA,"idp_out_camp",0.00825082508250825,NA,-0.00144015790213042,0.0179418080671469,"district","al.khalis"
"a65","population_group",NA,"returnee",0,NA,0,0,"district","al.khalis"
"a65","population_group",NA,"idp_out_camp",0.0129151291512915,NA,0.0035036471861012,0.0223266111164818,"district","daquq"
"a65","population_group",NA,"returnee",0.01625,NA,0.0106129487062116,0.0218870512937884,"district","daquq"
"a65","population_group",NA,"idp_out_camp",0.0151515151515152,NA,0.0101952984779641,0.0201077318250663,"district","rawanduz"
"a65","population_group",NA,"idp_out_camp",0.0123893805309735,NA,0.00611226509475643,0.0186664959671905,"district","al.hindiya"
"a65","population_group",NA,"idp_in_camp",0.0102564102564103,NA,-0.00382139265663083,0.0243342131694513,"district","al.hindiya"
"a65","population_group",NA,"idp_out_camp",0.0297397769516729,NA,0.0184147069767858,0.04106484692656,"district","al.shikhan"
