"governorate","district","a65","a65_min","a65_max","a65chronic","a65chronic_min","a65chronic_max","health_issue.chronic","health_issue.chronic_min","health_issue.chronic_max","a65andorchronic","a65andorchronic_min","a65andorchronic_max"
"","","People above the age of 65","","","People above the age of 65 with a chronic health condition","","","People with a chronic health condition","","","People above the age of 65 and/or with a chronic health condition","",""
"","",NA,"","",NA,"","",NA,"","",NA,"",""
"","",NA,"","",NA,"","",NA,"","",NA,"",""
"","","numerical","","","numerical","","","numerical","","","numerical","",""
"Al-Basrah","Al-Basrah","0.0344827586206897","0.0274139534984094","0.0415515637429699","0.0344827586206897","0.0274139534984094","0.0415515637429699","0.112068965517241","0.0546239907508065","0.169513940283676","0.112068965517241","0.0546239907508065","0.169513940283676"
"Al-Najaf","Al-Najaf","0.0231481481481481","0.0135632328376244","0.0327330634586719","0.0138888888888889","0.00362272618232635","0.0241550515954514","0.0694444444444444","0.0434836957301414","0.0954051931587475","0.0787037037037037","0.0525490493807423","0.104858358026665"
"Baghdad","Al-Adhamiya","0.0233333333333333","0.0233333333333333","0.0233333333333334","0.00333333333333333","0.00333333333333332","0.00333333333333335","0.00666666666666667","0.00666666666666665","0.00666666666666668","0.0266666666666667","0.0266666666666666","0.0266666666666667"
"Duhok","Sumail","0.0539273153575616","0.0345641813368516","0.0732904493782715","0.0363423212192263","0.0189507870492381","0.0537338553892144","0.126611957796014","0.102119818219667","0.151104097372361","0.144196951934349","0.119642544082043","0.168751359786656"
"Erbil","Erbil","0.0335820895522388","0.0335820895522388","0.0335820895522388","0.0298507462686567","0.0298507462686567","0.0298507462686568","0.0970149253731343","0.0970149253731342","0.0970149253731344","0.100746268656716","0.100746268656716","0.100746268656717"
"Maysan","Al-Kahla","0.0220125786163522","0.0220125786163521","0.0220125786163523","0","0","0","0","0","0","0.0220125786163522","0.0220125786163521","0.0220125786163523"
"Ninewa","Al-Mosul","0.00940438871473354","0.003607577959967","0.0152011994695001","0.00940438871473354","0.003607577959967","0.0152011994695001","0.0799373040752351","0.0492736927864787","0.110600915363992","0.0799373040752351","0.0492736927864787","0.110600915363992"
"Salah Al-Din","Al-Shirqat","0.0271604938271605","0.0118548420343754","0.0424661456199455","0.0123456790123457","0.00932266963841305","0.0153686883862783","0.0987654320987654","0.0870814941106311","0.1104493700869","0.11358024691358","0.107800531326056","0.119359962501104"
"Thi-Qar","Al-Nasiriya","0.00395256916996047","0.00395256916996045","0.0039525691699605","0.00395256916996047","0.00395256916996045","0.0039525691699605","0.0513833992094862","0.0513833992094861","0.0513833992094863","0.0513833992094862","0.0513833992094861","0.0513833992094863"
