"governorate","district","a65","a65_min","a65_max","a65chronic","a65chronic_min","a65chronic_max","health_issue.chronic","health_issue.chronic_min","health_issue.chronic_max"
"","","People above the age of 65","","","People above the age of 65 with a chronic health condition","","","People with a chronic health condition","",""
"","",NA,"","",NA,"","",NA,"",""
"","",NA,"","",NA,"","",NA,"",""
"","","numerical","","","numerical","","","numerical","",""
"Al-Anbar","Al-Falluja","0.000742297270151207","3.29570068823651e-05","0.00145163753342005","0.000201247254100214","-2.83679595844948e-05","0.000430862467784924","0.000671163486445926","0.000166408321899803","0.00117591865099205"
"Al-Anbar","Al-Kaim","0.0260628317429738","0.00765256413005759","0.04447309935589","0.0121626548133878","0.00198148870860568","0.0223438209181699","0.0581146116734383","0.0338393295281638","0.0823898938187126"
"Al-Anbar","Al-Ramadi","0.00378623189602389","-0.00196438337774691","0.00953684716979469","0","0","0","0.00740632057929677","0.00100293762932955","0.013809703529264"
"Al-Anbar","Al-Rutba","0.0233644859813084","0.0153644409944778","0.031364530968139","0.014018691588785","0.00739165015311174","0.0206457330244584","0.118380062305296","0.0941155342222186","0.142644590388373"
"Al-Anbar","Ana","0.0231023102310231","0.0143163492658378","0.0318882711962084","0.0165016501650165","0.00932111159617255","0.0236821887338605","0.127062706270627","0.0853255614921524","0.168799851049102"
"Al-Anbar","Haditha","0.0163384302895122","0.00970427019961744","0.022972590379407","0.0106619265924299","0.00217330329063923","0.0191505498942205","0.0683810817818145","0.0445040817410541","0.0922580818225748"
"Al-Anbar","Heet","0.0178160633585339","0.0101981702145788","0.025433956502489","5.69958621004115e-05","-1.67613126401274e-05","0.00013075303684095","0.0137651115010313","0.00439581956755932","0.0231344034345032"
"Al-Basrah","Al-Basrah","0.0333168204005962","0.0271908309004202","0.0394428099007722","0.0333168204005962","0.0271908309004202","0.0394428099007722","0.107549155627003","0.061615061885896","0.153483249368109"
"Al-Najaf","Al-Kufa","0.0220673635307782","0.0116640745882515","0.0324706524733048","0.0174216027874564","0.0098850183808512","0.0249581871940617","0.0766550522648084","0.0671819372916628","0.0861281672379539"
"Al-Najaf","Al-Najaf","0.0227270926338946","0.0154991894753568","0.0299549957924324","0.0141197000511874","0.00629675127910394","0.0219426488232708","0.0709006530502184","0.0512371492471994","0.0905641568532375"
"Al-Qadissiya","Al-Diwaniya","0.00872093023255814","0.00146503912907268","0.0159768213360436","0.00290697674418605","-0.000756441588249944","0.00657039507662203","0.0261627906976744","0.0148092659886726","0.0375163154066762"
"Al-Sulaymaniyah","Al-Sulaymaniyah","0.0139292919406814","0.00748255226337543","0.0203760316179875","0.00236198894782994","-6.36320562814028e-05","0.00478760995194128","0.0284491392115615","0.016236036032541","0.0406622423905821"
"Al-Sulaymaniyah","Chamchamal","0.0159651669085631","0.00612947106438269","0.0258008627527436","0.0101596516690856","0.00458544937207522","0.015733853966096","0.06966618287373","0.0517961458794252","0.0875362198680349"
"Al-Sulaymaniyah","Derbendikhan","0.0141065830721003","0.00507570908179156","0.0231374570624091","0.00470219435736677","0.000382535208697827","0.00902185350603571","0.0579937304075235","0.0293408907781994","0.0866465700368476"
"Al-Sulaymaniyah","Dokan","0.0160513643659711","0.0114651986514534","0.0206375300804888","0.0128410914927769","0.00846865362718476","0.017213529358369","0.104333868378812","0.083784937232639","0.124882799524985"
"Al-Sulaymaniyah","Halabcha","0.0075046904315197","0.00210401954481046","0.0129053613182289","0","0","0","0.0431519699812383","0.0293867161088288","0.0569172238536478"
"Al-Sulaymaniyah","Kalar","0.023243840062234","0.0116105122991823","0.0348771678252857","0.0144561861907648","0.00460147495684396","0.0243108974246857","0.048119838529264","0.0262274429071397","0.0700122341513883"
"Al-Sulaymaniyah","Rania","0.0224","0.0100835643997986","0.0347164356002014","0.0144","0.00691612692220115","0.0218838730777989","0.1008","0.0813938269095144","0.120206173090486"
"Babil","Al-Mussyab","0.00305810397553517","-0.0017073347841838","0.00782354273525413","0","0","0","0.0122324159021407","-0.000389297653649697","0.024854129457931"
"Baghdad","Al-Adhamiya","0.0206083544244221","0.0163674710452148","0.0248492378036295","0.00285877512247147","0.00212413554137255","0.00359341470357039","0.00631447881206478","0.00524501886417731","0.00738393875995225"
"Baghdad","Al-Kadhmiyah","0.00393850921939095","0.00230138378582036","0.00557563465296154","0","0","0","0.00354073248994043","0.000123088662273342","0.00695837631760752"
"Baghdad","Al-Karkh","0.00851063829787234","0.00035560369481199","0.0166656729009327","0","0","0","0.00212765957446809","-0.00119334274078578","0.00544866188972195"
"Baghdad","Al-Mahmoudiya","0.0196888731457949","0.0099820368529967","0.029395709438593","0.0159283857179733","0.00776083865447092","0.0240959327814756","0.0824785238112641","0.0519853353657024","0.112971712256826"
"Baghdad","Al-Risafa","0.0141008351534667","0.00660207426118854","0.0215995960457449","0","0","0","0.00679690153374364","0.00230198480743674","0.0112918182600505"
"Diyala","Al-Khalis","0.000452285794617198","-0.000150713366479172","0.00105528495571357","0","0","0","0.000633200112464077","-0.000114280258525383","0.00138068048345354"
"Diyala","Al-Muqdadiya","0.00350877192982456","-0.0017819812002409","0.00879952505989002","0.00350877192982456","-0.0017819812002409","0.00879952505989002","0.0456140350877193","0.0109950070087989","0.0802330631666397"
"Diyala","Baquba","0.0150753768844221","0.00624683713117826","0.023903916637666","0","0","0","0.0201005025125628","0.00668184879205779","0.0335191562330678"
"Diyala","Khanaqin","0.0235734150504671","0.0125740903615307","0.0345727397394036","0.0182947938954829","0.00925003717365473","0.027339550617311","0.0787864234238395","0.055559742913746","0.102013103933933"
"Diyala","Kifri","0.0179372197309417","0.00754561069666519","0.0283288287652182","0.0134529147982063","0.00564808846287316","0.0212577411335394","0.0515695067264574","0.0332480594844177","0.0698909539684971"
"Duhok","Al-Amadiya","0.0511280959685916","0.0353762519542884","0.0668799399828947","0.0362243768596403","0.0239977901048287","0.0484509636144519","0.125957428240989","0.102213458118252","0.149701398363726"
"Duhok","Duhok","0.0263157894736842","0.0158121099999234","0.036819468947445","0.0166204986149584","0.00725831314106657","0.0259826840888503","0.110803324099723","0.0832797003139486","0.138326947885497"
"Duhok","Sumail","0.0355971343575491","0.0292721720833014","0.0419220966317968","0.0255745671600292","0.0204087387389124","0.0307403955811459","0.120201562216537","0.109438568362222","0.130964556070851"
"Duhok","Zakho","0.0339429504141278","0.0262512721586062","0.0416346286696493","0.0242015347593328","0.0182479260516405","0.030155143467025","0.107829164281644","0.0937324766208443","0.121925851942445"
"Erbil","Erbil","0.0190400372092391","0.00900339143787156","0.0290766829806066","0.0157011179163887","0.00542503792458453","0.0259771979081928","0.114987217790809","0.0923980224014394","0.137576413180179"
"Erbil","Koysinjaq","0.00442477876106195","0.00183807711786238","0.00701148040426151","0.00294985250737463","-1.5591697898817e-05","0.00591529671264808","0.0870206489675516","0.0563687862549755","0.117672511680128"
"Erbil","Makhmour","0.0257541835328084","0.0192894409507389","0.0322189261148778","0.0172479915614554","0.012447309756725","0.0220486733661857","0.0777337658359238","0.0609624704144352","0.0945050612574123"
"Erbil","Rawanduz","0.0151515151515152","0.0109921270016554","0.0193109033013749","0.0101010101010101","0.0038513563782044","0.0163506638238158","0.106060606060606","0.0549659298454522","0.15715528227576"
"Erbil","Shaqlawa","0.0266666666666667","0.0150068087526816","0.0383265245806517","0.0228571428571429","0.0125572085569903","0.0331570771572954","0.133333333333333","0.107520817261388","0.159145849405279"
"Kerbala","Al-Hindiya","0.0121186657776","0.00719210011649171","0.0170452314387083","0.0121186657776","0.00719210011649171","0.0170452314387083","0.040261201647421","0.0343320867643399","0.0461903165305021"
"Kerbala","Kerbela","0.0143884892086331","0.00232888456852869","0.0264480938487375","0.0119904076738609","0.00209305670538163","0.0218877586423402","0.0503597122302158","0.0325754186988471","0.0681440057615846"
