DTM : Returnee Master List Date 29-02-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location of Return,,,,,,,,,,Governorate of Last Displacement (Number of Households),,,,,,,,,,,,,,,,,,Shelter Type,,,,,,,,,,,,Period of Former Displacement,,,,,,,,,,Link for Map,,
Place id,Governorate,District,"Location name
in English","Location name
in Arabic ",Latitude,Longitude,Households,Individuals,Households returned From Camp,Anbar,Babylon,Baghdad,Basrah,Dahuk,Diyala,Erbil,Kerbala,Kirkuk,Missan,Muthanna,Najaf,Ninewa,Qadissiya,Salah al-Din,Sulaymaniyah,Thi-Qar,Wassit,Camp,Habitual residnece (Habitable),Habitual residence (Uninhabitable),Host Families,Hotel/Motel,Informal settlements,Other shelter type,Religious Building,Rented houses,School Building,"Unfinished/
Abandoned building",Unknown shelter type,Pre-June14 Period,June-July14 Period,August14 Period,Post September14 Period,Post April15 Period,Post Mar16 Period,Post 17 October 16 Period,17-Jul,19-Jan,20-Jan,Open Street Map,Google Map,Bing Map
33466,Anbar,Al-Kaim,Al Baghoz village ,???? ???????,34.430122,41.00576,119,714,0,59,,30,,,,10,,,,,,,,,20,,,,109,10,,,,,,,,,,,,,,,40,50,29,,,Maplink1,Maplink2,Maplink3
277,Anbar,Al-Kaim,Hay Al-Maamon,?? ???????,34.39362133,41.000431,1364,8184,0,136,65,514,,,,387,,45,,,,,,,217,,,,1114,250,,,,,,,,,,,,,,180,250,350,584,,,Maplink1,Maplink2,Maplink3
268,Anbar,Al-Kaim,Hay Al-Salam,?? ??????,34.3931819,40.99586745,363,2178,0,124,,102,,,,67,,,,,,,,,70,,,,329,34,,,,,,,,,,,,,,,87,125,151,,,Maplink1,Maplink2,Maplink3
23796,Anbar,Al-Kaim,Al Rumanah Al Sharqiyah,?? ??????? ???????,34.394882,41.07665104,359,2154,0,139,,90,,,,95,,,,,,,,,35,,,,312,47,,,,,,,,,,,,,,,35,50,274,,,Maplink1,Maplink2,Maplink3
272,Anbar,Al-Kaim,Hay 12 Rabee Alawal,?? 12???? ?????,34.39208833,40.98504599,564,3384,0,200,,112,,,,165,,17,,,,,,,70,,,,495,69,,,,,,,,,,,,,,,119,111,334,,,Maplink1,Maplink2,Maplink3
23791,Anbar,Al-Kaim,Al Nahda Al-Sharqiyah,?? ?????? ???????,34.36827894,41.05775748,459,2754,0,210,,149,,,,85,,,,,,,,,15,,,,315,118,,,,,,26,,,,,,,,,112,153,194,,,Maplink1,Maplink2,Maplink3
23790,Anbar,Al-Kaim,Hay Al Shuhadaa,?? ???????,34.3737901,41.06328701,353,2118,0,241,,20,,,,60,,,,,,,,,32,,,,330,23,,,,,,,,,,,,,,,36,82,235,,,Maplink1,Maplink2,Maplink3
33779,Anbar,Al-Kaim,AI Nahda AI Gharbi,?? ?????? ???????,34.372312,41.0443771,180,1080,0,5,,55,,,,95,,5,,,,,,,20,,,,160,20,,,,,,,,,,,,,,,10,30,140,,,Maplink1,Maplink2,Maplink3
23647,Anbar,Al-Kaim,Al Aubaidi Al Qadima,??????? ??????? ,34.42020331,41.20149436,600,3600,0,125,,147,,,,227,,25,,,,,,,76,,,,545,55,,,,,,,,,,,,,,34,20,317,229,,,Maplink1,Maplink2,Maplink3
274,Anbar,Al-Kaim,Al-Rabet,???? ?????,34.423677,41.03989389,453,2718,0,264,,62,,,,92,,,,,,,,,35,,,,397,56,,,,,,,,,,,,,,,35,102,316,,,Maplink1,Maplink2,Maplink3
21477,Anbar,Al-Kaim,Al Zalla,???? ?????,34.42124214,41.45726616,228,1368,0,182,,,,,,27,,,,,,,,,19,,,,209,19,,,,,,,,,,,,,,,,142,86,,,Maplink1,Maplink2,Maplink3
33175,Anbar,Al-Kaim,Tiwaan,?????,34.2259007,41.34168435,159,954,0,64,,35,,,,47,,,,,,,,,13,,,,137,22,,,,,,,,,,,,,,,,34,125,,,Maplink1,Maplink2,Maplink3
33815,Anbar,Al-Kaim,  Hay Alzaytun,?? ???????,34.377399,41.0192203,118,708,0,,,28,,,,57,,33,,,,,,,,,,,115,3,,,,,,,,,,,,,,,,37,81,,,Maplink1,Maplink2,Maplink3
33943,Anbar,Al-Kaim,AL Qunaytara Village,???? ????????,34.380626,41.203832,83,498,0,13,,30,,,,40,,,,,,,,,,,,,75,8,,,,,,,,,,,,,,,45,18,20,,,Maplink1,Maplink2,Maplink3
