"","Group.1","c.0..0..0..0..0..0..0..0..0..0..0..0..0..0..0..0..0..0..0..0..","c.324..600..240..180..120..480..258..378..516..42..60..192..114.."
"1","Abu Al-Khaseeb",0,1218
"2","Abu Ghraib",564,6546
"3","Adhamia",0,4068
"4","Afaq",0,834
"5","Ain Al-Tamur",0,222
"6","Akre",1110,28908
"7","Al-Azezia",0,666
"8","Al-Ba'aj",0,7008
"9","Al-Chibayish",0,24
"10","Al-Daur",0,114
"11","Al-Fares",0,4104
"12","Al-Hai",0,378
"13","Al-Hamdaniya",38760,198
"14","Al-Hawiga",0,426
"15","Al-Hindiya",942,948
"16","Al-Kahla",0,36
"17","Al-Khalis",0,5952
"18","Al-Khidhir",0,36
"19","Al-Mahawil",0,372
"20","Al-Maimouna",0,18
"21","Al-Manathera",0,396
"22","Al-Mejar Al-Kabir",0,168
"23","Al-Midaina",0,228
"24","Al-Muqdadiya",0,264
"25","Al-Musayab",0,14826
"26","Al-Na'maniya",0,498
"27","Al-Qurna",0,288
"28","Al-Rifa'i",0,756
"29","Al-Rumaitha",0,318
"30","Al-Rutba",0,3096
"31","Al-Samawa",0,672
"32","Al-Shamiya",0,402
"33","Al-Shatra",0,150
"34","Al-Shikhan",32184,21792
"35","Al-Shirqat",0,1044
"36","Al-Suwaira",0,450
"37","Al-Zubair",0,1392
"38","Al Resafa",660,2568
"39","Ali Al-Gharbi",0,72
"40","Amara",0,1848
"41","Amedi",3756,3180
"42","Ana",0,552
"43","Ba'quba",714,21678
"44","Badra",0,228
"45","Baiji",0,852
"46","Balad",180,4818
"47","Baladrooz",0,630
"48","Basrah",0,2898
"49","Chamchamal",0,9768
"50","Dabes",0,1428
"51","Dahuk",0,31512
"52","Daquq",10596,6234
"53","Darbandikhan",0,4608
"54","Diwaniya",0,2490
"55","Dokan",0,5250
"56","Erbil",7332,208386
"57","Falluja",9288,13734
"58","Fao",0,60
"59","Haditha",0,1230
"60","Halabja",0,6378
"61","Hamza",0,174
"62","Hashimiya",0,294
"63","Hatra",0,1362
"64","Heet",0,1494
"65","Hilla",0,1524
"66","Kadhimia",0,2652
"67","Kalar",1566,20322
"68","Karkh",0,11502
"69","Kerbala",0,13734
"70","Khanaqin",6030,11148
"71","Kifri",0,7716
"72","Kirkuk",0,80850
"73","Koisnjaq",0,3450
"74","Kufa",0,2178
"75","Kut",0,4164
"76","Mada'in",378,564
"77","Mahmoudiya",282,4680
"78","Makhmur",10500,0
"79","Mergasur",0,210
"80","Mosul",45672,108750
"81","Najaf",1110,8820
"82","Nassriya",0,1950
"83","Penjwin",0,30
"84","Pshdar",0,228
"85","Qal'at Saleh",0,120
"86","Ramadi",0,6990
"87","Rania",0,2628
"88","Samarra",0,18372
"89","Shaqlawa",0,5214
"90","Sharbazher",0,594
"91","Shatt Al-Arab",0,444
"92","Sinjar",0,25476
"93","Soran",0,2316
"94","Sulaymaniya",14670,74262
"95","Sumel",94980,81270
"96","Suq Al-Shoyokh",0,546
"97","Tarmia",0,3336
"98","Telafar",0,9180
"99","Thawra1",0,18
"100","Thawra2",0,258
"101","Tikrit",1164,19110
"102","Tilkaif",0,10770
"103","Tuz Khurmatu",0,24726
"104","Zakho",53388,50700
