"","Group.1","x"
"1","Abu Ghraib",23100
"2","Al-Ba'aj",29334
"3","Al-Daur",60486
"4","Al-Fares",10368
"5","Al-Hamdaniya",165162
"6","Al-Hawiga",161730
"7","Al-Kaim",94674
"8","Al-Khalis",74622
"9","Al-Muqdadiya",56472
"10","Al-Rutba",27468
"11","Al-Shikhan",2142
"12","Al-Shirqat",158076
"13","Ana",14784
"14","Baiji",111474
"15","Balad",65712
"16","Dabes",7236
"17","Daquq",17370
"18","Falluja",538788
"19","Haditha",27150
"20","Hatra",46110
"21","Heet",175518
"22","Kadhimia",7764
"23","Khanaqin",97896
"24","Kifri",1200
"25","Kirkuk",153756
"26","Mahmoudiya",49056
"27","Makhmur",52878
"28","Mosul",1027038
"29","Ra'ua",14682
"30","Ramadi",586656
"31","Samarra",55878
"32","Sinjar",72186
"33","Tarmia",10152
"34","Telafar",344880
"35","Tikrit",171336
"36","Tilkaif",98886
"37","Tuz Khurmatu",47616
"38","Zakho",768
