"governorate","district","a65","a65_min","a65_max","a65chronic","a65chronic_min","a65chronic_max","health_issue.chronic","health_issue.chronic_min","health_issue.chronic_max","a65andorchronic","a65andorchronic_min","a65andorchronic_max"
"","","People above the age of 65","","","People above the age of 65 with a chronic health condition","","","People with a chronic health condition","","","People above the age of 65 and/or with a chronic health condition","",""
"","",NA,"","",NA,"","",NA,"","",NA,"",""
"","",NA,"","",NA,"","",NA,"","",NA,"",""
"","","numerical","","","numerical","","","numerical","","","numerical","",""
"Al-Anbar","Al-Falluja","0.0140351336896489","-0.000404938784640846","0.0284752061639386","0.00315104075076723","-0.00161388065804267","0.00791596215957713","0.0126041630030689","0.00304648025734884","0.022161845748789","0.0234882559419506","0.00741477506763581","0.0395617368162653"
"Al-Sulaymaniyah","Al-Sulaymaniyah","0.0091717122967123","-0.00148233228008209","0.0198257568735067","0.00582159957159957","-0.000996420989003591","0.0126396201322027","0.0542621792621793","0.0339988492600858","0.0745255092642728","0.057612291987292","0.036462015246897","0.078762568727687"
"Al-Sulaymaniyah","Kalar","0.00352112676056338","-0.00344374994167487","0.0104860034628016","0.00352112676056338","-0.00344374994167487","0.0104860034628016","0.0528169014084507","0.0246453853375726","0.0809884174793288","0.0528169014084507","0.0246453853375726","0.0809884174793288"
"Baghdad","Al-Kadhmiyah","0.00947867298578199","-0.00337456969829929","0.0223319156698633","0","0","0","0.023696682464455","0.00482159828337687","0.0425717666455331","0.033175355450237","0.00790447512502914","0.0584462357754448"
"Baghdad","Al-Risafa","0.027972027972028","-6.36113434215428e-05","0.0560076672874775","0","0","0","0.00699300699300699","-0.00683766930918377","0.0208236832951978","0.034965034965035","0.00362396888199612","0.0663061010480738"
"Diyala","Khanaqin","0.0168362867287893","0.00693667443666004","0.0267358990209185","0.0130767159989526","0.00393038429780474","0.0222230477001004","0.0798521042239343","0.053752814601413","0.105951393846456","0.083611674953771","0.0572390865308571","0.109984263376685"
"Duhok","Al-Amadiya","0.0597826086956522","0.0290988713100576","0.0904663460812468","0.0380434782608696","0.0155904931119318","0.0604964634098074","0.108695652173913","0.0742243311609473","0.143166973186879","0.130434782608696","0.0914393402428238","0.169430224974567"
"Duhok","Sumail","0.0286280962237506","0.0215834716791335","0.0356727207683677","0.0169416892504749","0.011709250136018","0.0221741283649318","0.08145783290521","0.0694713771731007","0.0934442886373192","0.0931442398784857","0.0804257092751019","0.105862770481869"
"Duhok","Zakho","0.0347687745079438","0.0242134331136648","0.0453241159022227","0.0212875833607085","0.0134629620041273","0.0291122047172897","0.0850107908111318","0.0682687183275008","0.101752863294763","0.0984919819583671","0.0800514208425984","0.116932543074136"
"Erbil","Erbil","0.0129277011304579","0.00270970228381019","0.0231456999771056","0.0122396219300105","0.0021008885518136","0.0223783553082075","0.108068246942068","0.078506373758826","0.137630120125309","0.108756326142515","0.079215979340209","0.138296672944821"
"Erbil","Makhmour","0.0233644859813084","0.0069779596394845","0.0397510123231323","0.0116822429906542","0.00189511861599488","0.0214693673653135","0.0467289719626168","0.0263212991253382","0.0671366447998955","0.058411214953271","0.0348843200656455","0.0819381098408966"
"Kerbala","Al-Hindiya","0.0102564102564103","-0.00382139265663083","0.0243342131694513","0.0102564102564103","-0.00382139265663083","0.0243342131694513","0.0615384615384615","0.0243471525377607","0.0987297705391623","0.0615384615384615","0.0243471525377607","0.0987297705391623"
"Kirkuk","Kirkuk","0.00307036637594878","-0.000128510058599803","0.00626924281049736","0.00185307943177987","-0.000871269223637703","0.00457742808719745","0.0604358801404358","0.045105033514801","0.0757667267660705","0.0616531670846047","0.0463084560013038","0.0769978781679056"
"Ninewa","Al-Hamdaniya","0.0186002108012159","0.0106428062026902","0.0265576153997416","0.00937288843528771","0.00398622274709176","0.0147595541234837","0.0705389693189028","0.0526047721563893","0.0884731664814164","0.079766291684831","0.0615932308981464","0.0979393524715156"
"Ninewa","Al-Mosul","0.0245383557748636","0.0164837929695135","0.0325929185802136","0.0102444196154049","0.00478643428388743","0.0157024049469223","0.0594638600581169","0.047759958887884","0.0711677612283499","0.0737577962175756","0.0608648852035538","0.0866507072315975"
"Ninewa","Al-Shikhan","0.0301180035723191","0.0165809326504103","0.0436550744942279","0.0175253496734308","0.00864956625673976","0.0264011330901218","0.0823638369710455","0.0649708283944285","0.0997568455476625","0.0949564908699338","0.0755445874906306","0.114368394249237"
"Ninewa","Aqra","0.0211480362537764","0.00201991714214469","0.0402761553654082","0.0151057401812689","-4.91807976332644e-05","0.030260661160171","0.0876132930513595","0.0561602301861438","0.119066355916575","0.0936555891238671","0.0606168946824926","0.126694283565242"
"Salah Al-Din","Al-Shirqat","0.0333333333333333","0.00692401972831259","0.0597426469383541","0.0285714285714286","0.0071284128931036","0.0500144442497535","0.138095238095238","0.0880949556922708","0.188095520498205","0.142857142857143","0.0914631318430117","0.194251153871274"
"Salah Al-Din","Tikrit","0.0233088756272055","0.0111601118450065","0.0354576394094044","0.01303348745647","0.00388865539499152","0.0221783195179485","0.124131025329223","0.0946849292833284","0.153577121375118","0.134406413499959","0.104572095226702","0.164240731773215"
