"governorate","district","a65","a65_min","a65_max","a65chronic","a65chronic_min","a65chronic_max","health_issue.chronic","health_issue.chronic_min","health_issue.chronic_max","a65andorchronic","a65andorchronic_min","a65andorchronic_max"
"","","People above the age of 65","","","People above the age of 65 with a chronic health condition","","","People with a chronic health condition","","","People above the age of 65 and/or with a chronic health condition","",""
"","",NA,"","",NA,"","",NA,"","",NA,"",""
"","",NA,"","",NA,"","",NA,"","",NA,"",""
"","","numerical","","","numerical","","","numerical","","","numerical","",""
"Al-Anbar","Al-Falluja","0.00246305418719212","-0.00235722086301908","0.00728332923740332","0.00246305418719212","-0.00235722086301908","0.00728332923740332","0.00246305418719212","-0.00235722086301908","0.00728332923740332","0.00246305418719212","-0.00235722086301908","0.00728332923740332"
"Al-Anbar","Al-Kaim","0","0","0","0","0","0","0.0740740740740741","-0.0033491916128932","0.151497339761041","0.0740740740740741","-0.0033491916128932","0.151497339761041"
"Al-Anbar","Al-Ramadi","0.00738007380073801","-0.00532612793493637","0.0200862755364124","0","0","0","0","0","0","0.00738007380073801","-0.00532612793493637","0.0200862755364124"
"Al-Anbar","Haditha","0.0204081632653061","0.00403311199223946","0.0367832145383728","0.0102040816326531","0.00251383776919689","0.0178943254961092","0.0527210884353741","0.0303646140088331","0.0750775628619152","0.0629251700680272","0.0304171702296631","0.0954331699063913"
"Al-Anbar","Heet","0.0247678018575851","0.00620071902482056","0.0433348846903497","0.00619195046439628","-0.000520174912486624","0.0129040758412792","0.00928792569659443","-0.000650551624813889","0.0192264030180027","0.0278637770897833","0.0046282090578582","0.0510993451217084"
"Al-Basrah","Al-Basrah","0.0178571428571429","-0.00338620224427606","0.0391004879585618","0.0178571428571429","-0.00338620224427606","0.0391004879585618","0.0476190476190476","0.00531581062109351","0.0899222846170017","0.0476190476190476","0.00531581062109351","0.0899222846170017"
"Al-Najaf","Al-Kufa","0.0220673635307782","0.00967108016913559","0.0344636468924207","0.0174216027874564","0.00844120856796019","0.0264019970069527","0.0766550522648084","0.0653671395505422","0.0879429649790746","0.0813008130081301","0.0669095409664669","0.0956920850497932"
"Al-Najaf","Al-Najaf","0.0190615835777126","0.00797787201889793","0.0301452951365273","0.0161290322580645","0.00394601641623852","0.0283120480998905","0.0835777126099707","0.0626037526497659","0.104551672570175","0.0865102639296188","0.0668615688466381","0.106158959012599"
"Al-Qadissiya","Al-Diwaniya","0.00872093023255814","7.50027131998145e-05","0.0173668577519165","0.00290697674418605","-0.00145825544075059","0.00727220892912268","0.0261627906976744","0.012634231582982","0.0396913498123668","0.0319767441860465","0.0162128478894649","0.0477406404826281"
"Al-Sulaymaniyah","Al-Sulaymaniyah","0.0149006622516556","0.00590855179525042","0.0238927727080608","0.00165562913907285","-0.00149959518478929","0.00481085346293499","0.0231788079470199","0.00621533892780279","0.040142276966237","0.0364238410596027","0.0175178531950204","0.0553298289241849"
"Al-Sulaymaniyah","Chamchamal","0.0159651669085631","0.00424521243868574","0.0276851213784405","0.0101596516690856","0.00351757995786025","0.016801723380311","0.06966618287373","0.0483727204419697","0.0909596453054903","0.0754716981132075","0.0514507185027508","0.0994926777236643"
"Al-Sulaymaniyah","Derbendikhan","0.0141065830721003","0.00334563299125347","0.0248675331529472","0.00470219435736677","-0.000444996990334746","0.00984938570506829","0.0579937304075235","0.0238517661572699","0.0921356946577771","0.067398119122257","0.0354896830849576","0.0993065551595565"
"Al-Sulaymaniyah","Dokan","0.0160513643659711","0.0105866108582401","0.0215161178737021","0.0128410914927769","0.00763101042490531","0.0180511725606485","0.104333868378812","0.079848306680573","0.128819430077051","0.107544141252006","0.085410626666403","0.12967765583761"
"Al-Sulaymaniyah","Halabcha","0.0075046904315197","0.00106939414930748","0.0139399867137319","0","0","0","0.0431519699812383","0.0267496583190291","0.0595542816434474","0.050656660412758","0.0343759415898752","0.0669373792356408"
"Al-Sulaymaniyah","Kalar","0.0257425742574257","0.0101145742615781","0.0413705742532734","0.0158415841584158","0.00251948522996957","0.0291636830868621","0.0475247524752475","0.0183914104785253","0.0766580944719698","0.0574257425742574","0.0259786630655818","0.088872822082933"
"Al-Sulaymaniyah","Rania","0.0224","0.00772406178959421","0.0370759382104058","0.0144","0.00548241520277997","0.02331758479722","0.1008","0.0776761185117755","0.123923881488225","0.1088","0.0848941402943094","0.132705859705691"
"Babil","Al-Mussyab","0.00305810397553517","-0.00262026654117219","0.00873647449224252","0","0","0","0.0122324159021407","-0.00280728342866181","0.0272721152329432","0.0152905198776758","0.00109671045239948","0.0294843293029522"
"Baghdad","Al-Adhamiya","0.00419287211740042","-0.000901826837031708","0.00928757107183255","0","0","0","0.00419287211740042","-0.00365294336100848","0.0120386875958093","0.00838574423480084","0.000353549498453265","0.0164179389711484"
"Baghdad","Al-Kadhmiyah","0.0020746887966805","-0.0018341279025962","0.00598350549595719","0","0","0","0","0","0","0.0020746887966805","-0.0018341279025962","0.00598350549595719"
"Baghdad","Al-Karkh","0.00851063829787234","-0.00120668478351315","0.0182279613792578","0","0","0","0.00212765957446809","-0.00182955876023286","0.00608487790916903","0.0106382978723404","0.00104712317083257","0.0202294725738483"
"Baghdad","Al-Mahmoudiya","0.0255102040816327","0.00946682543298418","0.0415535827302811","0.022108843537415","0.00572845457693566","0.0384892324978943","0.137755102040816","0.0746528454563081","0.200857358625325","0.141156462585034","0.0775233209995647","0.204789604170503"
"Baghdad","Al-Risafa","0.0112612612612613","0.00222556730872387","0.0202969552137987","0","0","0","0.00675675675675676","0.000954896297051164","0.0125586172164623","0.018018018018018","0.00719263912514088","0.0288433969108952"
"Diyala","Al-Khalis","0.00825082508250825","-0.00144015790213042","0.0179418080671469","0","0","0","0.0115511551155116","0.000634260360293348","0.0224680498707298","0.0198019801980198","0.00804086570421062","0.031563094691829"
"Diyala","Baquba","0.0150753768844221","0.00455552291753258","0.0255952308513116","0","0","0","0.0201005025125628","0.00411119040462279","0.0360898146205028","0.0351758793969849","0.0153955773856274","0.0549561814083424"
"Diyala","Khanaqin","0.0301204819277108","0.0160830339772902","0.0441579298781315","0.0190763052208835","0.0102074660614265","0.0279451443803405","0.0953815261044177","0.0675252911563093","0.123237761052526","0.106425702811245","0.0760771602117614","0.136774245410729"
"Diyala","Kifri","0.0179372197309417","0.00555485383839053","0.0303195856234929","0.0134529147982063","0.00415289060627011","0.0227529389901424","0.0515695067264574","0.0297381558082593","0.0734008576446555","0.0560538116591928","0.0343400882169766","0.0777675351014091"
"Duhok","Al-Amadiya","0.040453074433657","0.0203084899379899","0.060597658929324","0.0339805825242718","0.016042463849698","0.0519187011988456","0.147249190938511","0.108632917528688","0.185865464348334","0.153721682847896","0.114247549797275","0.193195815898518"
"Duhok","Duhok","0.0263157894736842","0.0137998834159039","0.0388316955314645","0.0166204986149584","0.00546476655178351","0.0277762306781334","0.110803324099723","0.0780069035184409","0.143599744681005","0.120498614958449","0.0883732467390685","0.152623983177829"
"Duhok","Sumail","0.0327653997378768","0.022340588696925","0.0431902107788286","0.0288335517693316","0.0182662740932269","0.0394008294454363","0.158584534731324","0.128812314679451","0.188356754783197","0.162516382699869","0.134803812501574","0.190228952898164"
"Duhok","Zakho","0.033096926713948","0.0182453160555789","0.0479485373723171","0.0271867612293144","0.0147156201397868","0.0396579023188421","0.131205673758865","0.105792128502418","0.156619219015313","0.137115839243499","0.111418997192864","0.162812681294133"
"Erbil","Erbil","0.0189982728842832","0.00623526429798169","0.0317612814705848","0.0155440414507772","0.00247214964984101","0.0286159332517134","0.115716753022453","0.0869858355352556","0.144447670509649","0.119170984455959","0.0913749222066905","0.146967046705227"
"Erbil","Koysinjaq","0.00442477876106195","0.00134253364432287","0.00750702387780102","0.00294985250737463","-0.000583692207647257","0.00648339722239652","0.0870206489675516","0.0504967017959971","0.123544596139106","0.0884955752212389","0.0528651009782775","0.1241260494642"
