"governorate","district","a65","a65_min","a65_max","a65chronic","a65chronic_min","a65chronic_max","health_issue.chronic","health_issue.chronic_min","health_issue.chronic_max","a65andorchronic","a65andorchronic_min","a65andorchronic_max"
"","","People above the age of 65","","","People above the age of 65 with a chronic health condition","","","People with a chronic health condition","","","People above the age of 65 and/or with a chronic health condition","",""
"","",NA,"","",NA,"","",NA,"","",NA,"",""
"","",NA,"","",NA,"","",NA,"","",NA,"",""
"","","numerical","","","numerical","","","numerical","","","numerical","",""
"Al-Anbar","Al-Falluja","0","0","0","0","0","0","0","0","0","0","0","0"
"Al-Anbar","Al-Kaim","0.0269784172661871","0.0042949262076236","0.0496619083247505","0.012589928057554","1.79496521058743e-05","0.025161906463002","0.0575539568345324","0.0277303107112689","0.0873776029577958","0.0719424460431655","0.0332131116711334","0.110671780415198"
"Al-Anbar","Al-Ramadi","0.00374531835205993","-0.00318583185599757","0.0106764685601174","0","0","0","0.00749063670411985","-0.000222423653913742","0.0152036970621534","0.0112359550561798","-0.00258506888389357","0.0250569789962531"
"Al-Anbar","Al-Rutba","0.0233644859813084","0.0138318444185764","0.0328971275440404","0.014018691588785","0.00612208466574392","0.0219152985118262","0.118380062305296","0.0894670937800453","0.147293030830547","0.127725856697819","0.0976080377772478","0.157843675618391"
"Al-Anbar","Ana","0.0231023102310231","0.0126331920194206","0.0335714284426256","0.0165016501650165","0.00794551072869562","0.0250577896013374","0.127062706270627","0.0773298308080508","0.176795581733203","0.133663366336634","0.0846283961756447","0.182698336497623"
"Al-Anbar","Haditha","0.0160427807486631","0.00765312241347984","0.0244324390838464","0.0106951871657754","-0.000135435347983456","0.0215258096795343","0.0695187165775401","0.0392519213166749","0.0997855118384053","0.0748663101604278","0.0480476681810805","0.101684952139775"
"Al-Anbar","Heet","0.0177514792899408","0.00859707395292525","0.0269058846269564","0","0","0","0.0138067061143984","0.00254041073011109","0.0250730014986858","0.0315581854043393","0.0186803915041582","0.0444359793045203"
"Baghdad","Al-Kadhmiyah","0.00477326968973747","0.00343744344530161","0.00610909593417333","0","0","0","0.00477326968973747","-0.000848705496106778","0.0103952448755817","0.00954653937947494","0.0048227553597837","0.0142703233991662"
"Baghdad","Al-Mahmoudiya","0.0190114068441065","0.00615778732198877","0.0318650263662242","0.0152091254752852","0.00443883342143543","0.0259794175291349","0.0760456273764259","0.0367739718964237","0.115317282856428","0.0798479087452472","0.0416323834690693","0.118063434021425"
"Diyala","Al-Khalis","0","0","0","0","0","0","0","0","0","0","0","0"
"Diyala","Al-Muqdadiya","0.00350877192982456","-0.00279554926697382","0.00981309312662294","0.00350877192982456","-0.00279554926697382","0.00981309312662294","0.0456140350877193","0.00436291881652862","0.08686515135891","0.0456140350877193","0.00436291881652862","0.08686515135891"
"Diyala","Khanaqin","0.0232018561484919","0.00765425063077657","0.0387494616662072","0.0185614849187935","0.00568075104110189","0.0314422187964851","0.0765661252900232","0.0437890052280681","0.109343245351978","0.0812064965197216","0.0484698837009703","0.113943109338473"
"Erbil","Makhmour","0.0264650283553875","0.0173311697823567","0.0355988869284183","0.0189035916824197","0.0110976080940669","0.0267095752707724","0.0869565217391304","0.0696714994085102","0.104241544069751","0.0945179584120983","0.0790849339239502","0.109950982900246"
"Kirkuk","Al-Hawiga","0.0257731958762887","0.0137716844970023","0.037774707255575","0.0141752577319588","0.00720130858126782","0.0211492068826497","0.117268041237113","0.0856895850648376","0.148846497409389","0.128865979381443","0.0932995263122536","0.164432432450633"
"Kirkuk","Daquq","0.01625","0.0106129487062116","0.0218870512937884","0.01375","0.00551493632681456","0.0219850636731854","0.0825","0.0555078640790691","0.109492135920931","0.085","0.0594706759740702","0.11052932402593"
"Kirkuk","Dibis","0.0209643605870021","0.0129686324853798","0.0289600886886243","0.0209643605870021","0.0129686324853798","0.0289600886886243","0.136268343815514","0.0945955611197807","0.177941126511247","0.136268343815514","0.0945955611197807","0.177941126511247"
"Kirkuk","Kirkuk","0.0434227330779055","0.0223716892472368","0.0644737769085742","0.0268199233716475","0.0111124321515455","0.0425274145917496","0.126436781609195","0.0967448307734241","0.156128732444967","0.143039591315453","0.111663988730248","0.174415193900658"
"Ninewa","Al-Baaj","0.0163934426229508","0.0163934426229508","0.0163934426229508","0.0122950819672131","0.0122950819672131","0.0122950819672131","0.0573770491803279","0.0573770491803278","0.0573770491803279","0.0614754098360656","0.0614754098360655","0.0614754098360656"
"Ninewa","Al-Hamdaniya","0.0282258064516129","0.0130073177643291","0.0434442951388968","0.0228494623655914","0.0103910563610716","0.0353078683701111","0.111559139784946","0.0812037911231249","0.141914488446768","0.116935483870968","0.085818434376699","0.148052533365236"
"Ninewa","Al-Hatra","0.00749063670411985","0.00200195833654061","0.0129793150716991","0.00499375780274657","2.24119940914853e-05","0.00996510361140165","0.0649188514357054","0.047445561512601","0.0823921413588097","0.0674157303370786","0.0492709218823288","0.0855605387918285"
"Ninewa","Al-Mosul","0.0107142857142857","0.000895449848150716","0.0205331215804207","0.00535714285714286","-0.000206962876991805","0.0109212485912775","0.075","0.0430469528531926","0.106953047146807","0.0803571428571428","0.0482887070941668","0.112425578620119"
"Ninewa","Al-Shikhan","0.0222222222222222","0.014605994028313","0.0298384504161314","0.0121212121212121","0.00155946854278253","0.0226829556996417","0.0808080808080808","0.0503448961306783","0.111271265485483","0.0909090909090909","0.0571530225309094","0.124665159287272"
"Ninewa","Sinjar","0.0264650283553875","0.00693177444375465","0.0459982822670204","0.0151228733459357","0.00028935180027281","0.0299563948915986","0.0850661625708885","0.0669414485711336","0.103190876570643","0.0964083175803403","0.0726455181300423","0.120171117030638"
"Ninewa","Telafar","0.0224719101123595","0.00992027896737996","0.0350235412573391","0.00842696629213483","0.000823629979913732","0.0160303026043559","0.0800561797752809","0.0549307355703798","0.105181623980182","0.0941011235955056","0.069418038405551","0.11878420878546"
"Ninewa","Tilkaef","0.0323699421965318","0.0122948792765165","0.0524450051165471","0.0242774566473988","0.010614115396311","0.0379407978984867","0.136416184971098","0.114991488201434","0.157840881740762","0.144508670520231","0.124486464933939","0.164530876106524"
"Salah Al-Din","Al-Shirqat","0.0104575163398693","0.0028613484764205","0.0180536842033181","0.0065359477124183","0.000797188698723636","0.012274706726113","0.0967320261437909","0.0807572358771371","0.112706816410445","0.100653594771242","0.08620670865196","0.115100480890524"
"Salah Al-Din","Balad","0.0170731707317073","0.00522807618795597","0.0289182652754587","0.0170731707317073","0.00522807618795597","0.0289182652754587","0.0975609756097561","0.0472311685288302","0.147890782690682","0.0975609756097561","0.0472311685288302","0.147890782690682"
"Salah Al-Din","Beygee","0.0294985250737463","0.0190125993376978","0.0399844508097948","0.023598820058997","0.0134545773870648","0.0337430627309293","0.0884955752212389","0.0691895788829527","0.107801571559525","0.0943952802359882","0.0750806522382839","0.113709908233692"
"Salah Al-Din","Tikrit","0.0274170274170274","0.0120650865560084","0.0427689682780464","0.0173160173160173","0.00053198627540825","0.0341000483566264","0.102453102453102","0.0671311077491007","0.137775097157104","0.112554112554113","0.0803661514770018","0.144742073631223"
"Salah Al-Din","Tooz Khurmato","0.0550724637681159","0.00784707145744776","0.102297856078784","0.0347826086956522","-0.0184541272192277","0.088019344610532","0.153623188405797","-0.0451144884023226","0.352360865213917","0.173913043478261","-0.0178265592903107","0.365652646246832"
