"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value"
"dependent.var","a65","na","NA","NA","0.04 (0.02-0)",NA,0.0164859005543871,0.0690321074145148,"district","tooz.khurmato",NA
"dependent.var1","a65","na","NA","NA","0.02 (0.01-0)",NA,0.0120195329360226,0.0323979153806245,"district","telafar",NA
"dependent.var2","a65","na","NA","NA","0.01 (0-0)",NA,0.00232888456852869,0.0264480938487375,"district","kerbela",NA
"dependent.var3","a65","na","NA","NA","0.02 (0.01-0)",NA,0.00624683713117826,0.023903916637666,"district","baquba",NA
"dependent.var4","a65","na","NA","NA","0.04 (0.03-0)",NA,0.0277692241183808,0.0516774254820812,"district","kirkuk",NA
"dependent.var5","a65","na","NA","NA","0.03 (0.02-0)",NA,0.0167408349242735,0.0340760217216892,"district","al.hamdaniya",NA
"dependent.var6","a65","na","NA","NA","0.01 (0.01-0)",NA,0.00679037636333011,0.0183179390866159,"district","al.mosul",NA
"dependent.var7","a65","na","NA","NA","0.02 (0.01-0)",NA,0.0114651986514534,0.0206375300804888,"district","dokan",NA
"dependent.var8","a65","na","NA","NA","0.01 (0-0)",NA,0.0023157015806,0.0250505535634329,"district","balad",NA
"dependent.var9","a65","na","NA","NA","0.03 (0.02-0)",NA,0.0150068087526816,0.0383265245806517,"district","shaqlawa",NA
"dependent.var10","a65","na","NA","NA","0.02 (0.01-0)",NA,0.0145354252569786,0.0257038758419038,"district","dibis",NA
"dependent.var11","a65","na","NA","NA","0.01 (0.01-0)",NA,0.00507570908179156,0.0231374570624091,"district","derbendikhan",NA
"dependent.var12","a65","na","NA","NA","0.03 (0.02-0)",NA,0.0209185639392322,0.037764715511227,"district","beygee",NA
"dependent.var13","a65","na","NA","NA","0.01 (0.01-0)",NA,0.00660207426118854,0.0215995960457449,"district","al.risafa",NA
"dependent.var14","a65","na","NA","NA","0.03 (0.03-0)",NA,0.0262512721586062,0.0416346286696493,"district","zakho",NA
"dependent.var15","a65","na","NA","NA","0.02 (0.02-0)",NA,0.0153644409944778,0.031364530968139,"district","al.rutba",NA
"dependent.var16","a65","na","NA","NA","0.03 (0.02-0)",NA,0.0153758511794479,0.0363915862542502,"district","tikrit",NA
"dependent.var17","a65","na","NA","NA","0.03 (0.02-0)",NA,0.0192894409507389,0.0322189261148778,"district","makhmour",NA
"dependent.var18","a65","na","NA","NA","0",NA,0.00183807711786238,0.00701148040426151,"district","koysinjaq",NA
"dependent.var19","a65","na","NA","NA","0.04 (0.03-0)",NA,0.0292721720833014,0.0419220966317968,"district","sumail",NA
"dependent.var20","a65","na","NA","NA","0.01 (0.01-0)",NA,0.00616005782437988,0.0182298721835198,"district","al.shirqat",NA
"dependent.var21","a65","na","NA","NA","0.02 (0.01-0)",NA,0.00970427019961744,0.022972590379407,"district","haditha",NA
"dependent.var22","a65","na","NA","NA","0",NA,-0.00196438337774691,0.00953684716979469,"district","al.ramadi",NA
"dependent.var23","a65","na","NA","NA","0.03 (0.02-0)",NA,0.0170878104529435,0.0450396483375673,"district","tilkaef",NA
"dependent.var24","a65","na","NA","NA","0.02 (0.02-0)",NA,0.0189585704442746,0.0263059585894811,"district","al.kahla",NA
"dependent.var25","a65","na","NA","NA","0.03 (0.03-0)",NA,0.0271908309004202,0.0394428099007722,"district","al.basrah",NA
"dependent.var26","a65","na","NA","NA","0.02 (0.01-0)",NA,0.0101981702145788,0.025433956502489,"district","heet",NA
"dependent.var27","a65","na","NA","NA","0",NA,0.00230138378582036,0.00557563465296154,"district","al.kadhmiyah",NA
"dependent.var28","a65","na","NA","NA","0.03 (0.01-0)",NA,0.00765256413005759,0.04447309935589,"district","al.kaim",NA
"dependent.var29","a65","na","NA","NA","0.05 (0.04-0)",NA,0.0353762519542884,0.0668799399828947,"district","al.amadiya",NA
"dependent.var30","a65","na","NA","NA","0",NA,-0.000150713366479172,0.00105528495571357,"district","al.khalis",NA
"dependent.var31","a65","na","NA","NA","0.01 (0.01-0)",NA,0.0100394151876015,0.019504220371282,"district","daquq",NA
"dependent.var32","a65","na","NA","NA","0.02 (0.01-0)",NA,0.0109921270016554,0.0193109033013749,"district","rawanduz",NA
"dependent.var33","a65","na","NA","NA","0.01 (0.01-0)",NA,0.00719210011649171,0.0170452314387083,"district","al.hindiya",NA
"dependent.var34","a65","na","NA","NA","0.03 (0.02-0)",NA,0.0222598583753784,0.0372236778354592,"district","al.shikhan",NA
"dependent.var35","a65","na","NA","NA","0.02 (0.01-0)",NA,0.00754561069666519,0.0283288287652182,"district","kifri",NA
"dependent.var36","a65","na","NA","NA","0.03 (0.02-0)",NA,0.0157012100251042,0.0358451817274731,"district","al.hawiga",NA
"dependent.var37","a65","na","NA","NA","0.02 (0.01-0)",NA,0.0125740903615307,0.0345727397394036,"district","khanaqin",NA
"dependent.var38","a65","na","NA","NA","0.01 (0-0)",NA,0.00035560369481199,0.0166656729009327,"district","al.karkh",NA
"dependent.var39","a65","na","NA","NA","0.02 (0.01-0)",NA,0.0116105122991823,0.0348771678252857,"district","kalar",NA
"dependent.var40","a65","na","NA","NA","0.02 (0.01-0)",NA,0.0143163492658378,0.0318882711962084,"district","ana",NA
"dependent.var41","a65","na","NA","NA","0.02 (0.01-0)",NA,0.0127540933590928,0.0365673715766685,"district","sinjar",NA
"dependent.var42","a65","na","NA","NA","0.02 (0.01-0)",NA,0.0116640745882515,0.0324706524733048,"district","al.kufa",NA
"dependent.var43","a65","na","NA","NA","0",NA,3.29570068823651e-05,0.00145163753342005,"district","al.falluja",NA
"dependent.var44","a65","na","NA","NA","0.02 (0.01-0)",NA,0.00900339143787156,0.0290766829806066,"district","erbil",NA
"dependent.var45","a65","na","NA","NA","0.01 (0.01-0)",NA,0.00748255226337543,0.0203760316179875,"district","al.sulaymaniyah",NA
